id,ONG,proyecto,fecha
20622,Dooley-Runolfsson,Colico Sur,1994-04-12
20623,Nolan Group,Global Partner Acquisition Corp.,2016-06-20
20624,Mohr And Sons,Vina Concha Y Toro,2015-02-13
20625,Renner Inc,"The Travelers Companies, Inc.",1984-08-30
20626,"Nolan, Reynolds And Waters",Imax Corporation,1979-02-03
20627,Schuppe And Sons,Dos Amigos,2003-07-19
20628,"Williamson, Hermiston And Bauch",EPR Properties,1996-08-12
20629,"Labadie, Veum And Hammes",Maganeso III de Atacama,1984-06-30
20630,Zemlak And Sons,Flor de Los Andes,1986-02-24
20631,Schimmel-Mcglynn,United States Cellular Corporation,2005-07-30
20632,"Volkman, Kulas And Hodkiewicz","Hurco Companies, Inc.",2015-12-12
20633,Senger-Bins,Las Piedras,2007-12-17
20634,"Dare, Hessel And Mckenzie",Victoria,2015-08-19
20635,Price-Shields,Delta,1990-06-25
20636,Okuneva ,Esperanza,1985-05-31
20637,"Wunsch, Barrows And Hoeger",Mantos de la Luna,2008-11-14
20638,"Nolan, Reynolds And Waters",El Abra,1984-12-15
20639,"Paucek, Mclaughlin And Green","Appliance Recycling Centers of America, Inc.",2014-01-05
20640,"O'Kon, Huels And Lubowitz","Portola Pharmaceuticals, Inc.",1964-06-15
20641,Hilll ,Lomas Bayas,1992-01-08
20642,Bahringer Inc,La Patagua,2008-05-16
20643,Thiel And Sons,PowerShares BuyBack Achievers Portfolio,2013-11-05
20644,Mertz Group,"Herman Miller, Inc.",1980-10-06
20645,Keeling Group,Elenita,2019-03-13
20646,Monahan-Grimes,La Productora,2019-04-29
20647,Anderson-Orn,Arlington Asset Investment Corp,2012-11-13
20648,"Crooks, Mraz And Volkman",Mantos de la Luna,2001-07-08
20649,Watsica Inc,Mantos Blancos,2019-03-23
20650,"Botsford, Wuckert And Volkman",3M Company,1997-01-23
20651,Zboncak-Mraz,CoreSite Realty Corporation,1992-02-15
20652,Blick-Bartell,Walter Investment Management Corp.,2017-04-04
20653,Wolff-Greenholt,Ferton,2005-08-01
20654,Satterfield And Sons,"Impax Laboratories, Inc.",2012-11-26
20655,Klein Group,CMP - Romeral,1967-04-28
20656,Bode ,Don Alberto,2019-02-06
20657,Heller-Rohan,"Sierra Oncology, Inc.",2013-04-09
20658,Feest-Graham,"Littelfuse, Inc.",2013-12-31
20659,Wunsch Group,PowerShares Golden Dragon China Portfolio,2011-12-25
20660,"Crooks, Mraz And Volkman",Neff Corporation,1981-08-09
20661,"Cremin, Klocko And Thiel",Gabriela Mistral,2009-09-28
20662,"Mante, Ferry And Corwin",Elenita,2001-05-28
20663,"Becker, Deckow And O'Keefe",Mantos Blancos,2016-09-27
20664,Gutkowski-Bartoletti,"TC PipeLines, LP",1984-06-12
20665,"Dubuque, Gaylord And Cole",Imax Corporation,2004-02-24
20666,Jerde-Lowe,"Commercial Vehicle Group, Inc.",2003-07-13
20667,Bins-Goldner,Montecristo,2010-09-25
20668,"Mcclure, Klocko And Wyman",First Trust Multi-Asset Diversified Income Index Fund,2014-03-25
20669,Conn ,CMP - Los Colorados,2017-08-17
20670,"Kassulke, Morar And Crooks",Alliance National Municipal Income Fund Inc,1972-07-29
20671,Adca,Array BioPharma Inc.,2015-11-12
20672,Paucek Group,Lions Gate Entertainment Corporation,1997-02-25
20673,"Waters, Conroy And Dibbert",III de Atacama Minerals - Aguas Blancas,2001-10-22
20674,Hermiston Group,Los Pelambres,1977-07-01
20675,Bahringer-Lehner,Delta,2014-06-26
20676,Lueilwitz Inc,Las Piedras,2018-04-20
20677,Cassin And Sons,"Sarepta Therapeutics, Inc.",2016-10-17
20678,"Mohr, Monahan And Hermiston",Elenita,2019-03-20
20679,Wunsch-Larson,"Enanta Pharmaceuticals, Inc.",1985-01-24
20680,Eichmann-Streich,"SeaChange International, Inc.",2014-03-27
20681,"Buckridge, Okuneva And Keebler",Suncor EnergyInc.,2006-04-19
20682,"Funk, Turcotte And Jenkins",Tranquilo,2019-06-11
20683,Denesik And Sons,Novelion Therapeutics Inc.,2013-05-09
20684,Afrikable Ongd,Lota,2015-10-24
20685,Cassin ,Merus Labs International Inc.,1983-09-12
20686,Hahn And Sons,Pinatolca,2019-06-27
20687,Schuster ,The Community Financial Corporation,1972-02-02
20688,Bode-Nikolaus,Old Republic International Corporation,2006-01-11
20689,Heller-Rohan,Tuina,2016-06-17
20690,"Wolff, Russel And Ankunding",Royal Caribbean Cruises Ltd.,2019-01-08
20691,"Nolan, Renner And Lesch","Edge Therapeutics, Inc.",1993-06-04
20692,"Wunsch, Barrows And Hoeger",U.S. Energy Corp.,2009-11-19
20693,Kirlin ,Talcuna,1992-04-05
20694,Weissnat-Bergstrom,Forum Merger Corporation,1973-03-02
20695,Paucek ,"Apple Hospitality REIT, Inc.",1952-08-29
20696,O'Conner And Sons,"Avon Products, Inc.",2012-10-06
20697,"Kutch, Rodriguez And Hettinger",La Coipa,1991-11-11
20698,Luettgen-Satterfield,Pampa Camarones,2018-05-05
20699,"Rosenbaum, Lind And Koss","Nutanix, Inc.",1987-09-24
20700,"Lindgren, Padberg And Hand","Arista Networks, Inc.",1999-10-13
20701,Schultz Group,Nuveen AMT-Free Municipal Value Fund,2010-02-19
20702,Wisoky Group,Western Alliance Bancorporation,1994-01-21
20703,Walsh-Doyle,CMP - Cerro Negro Norte,1986-04-01
20704,"Nolan, Reynolds And Waters",CVS Health Corporation,2008-10-29
20705,Africa Esperanza,Alhue,1986-05-29
20706,Bahringer-Johnston,"Sportsman's Warehouse Holdings, Inc.",1998-07-16
20707,Morar-Schoen,Punta de Lobos - Kanita,2007-10-15
20708,Gutkowski-Bartoletti,"LM Funding America, Inc.",1998-03-16
20709,Reinger And Sons,Park-Ohio Holdings Corp.,2015-11-22
20710,"Olson, Thompson And Fritsch","Mirna Therapeutics, Inc.",1988-09-28
20711,"Jacobson, Boyer And Gleichner",Pure Cycle Corporation,1993-01-18
20712,Jaskolski-Boyer,"Adams Diversified Equity Fund, Inc.",2012-01-16
20713,"Champlin, Oberbrunner And Eichmann",First Trust Multi-Asset Diversified Income Index Fund,2009-12-23
20714,"Moore, Kub And Murazik","Ellie Mae, Inc.",2010-06-30
20715,"Weissnat, Jaskolski And Bins",Nabriva Therapeutics AG,1987-05-09
20716,"Walker, Paucek And Beer",First Trust Nasdaq Retail ETF,1979-01-16
20717,Deckow And Sons,United Microelectronics Corporation,1987-07-11
20718,Cremin-Hodkiewicz,Las Pataguas,2013-04-18
20719,Jacobs Group,San Jose,2000-01-21
20720,Rogahn-Leannon,Esterline Technologies Corporation,1988-04-24
20721,Pacocha-Heller,First Trust Multi-Asset Diversified Income Index Fund,2017-02-28
20722,Schimmel-Beatty,First Trust Emerging Markets Small Cap AlphaDEX Fund,2019-04-19
20723,Schimmel-Beatty,"Pinnacle Financial Partners, Inc.",1991-03-14
20724,Jones-Kemmer,"Clear Channel Outdoor Holdings, Inc.",2004-07-25
20725,Bayer-Bashirian,Microsemi Corporation,2002-01-26
20726,"Heller, Lubowitz And Dach",iShares 20+ Year Treasury Bond ETF,2014-01-23
20727,"Kuhlman, Denesik And King",CoreSite Realty Corporation,1993-12-16
20728,Accion Familiar,Eagle Bulk Shipping Inc.,1996-01-26
20729,Funk And Sons,Fidus Investment Corporation,2013-06-04
20730,"Kshlerin, Hahn And Gulgowski",Cosayach - Negreiros,2005-02-27
20731,"Moore, Kub And Murazik",III de Atacama Minerals - Aguas Blancas,2008-03-17
20732,Ernser-Eichmann,Zion Oil & Gas Inc,2017-08-11
20733,Bins-Goldner,"Waste Management, Inc.",2014-06-12
20734,Legros-Price,"NextEra Energy, Inc.",2005-08-10
20735,Jerde-Lowe,"FairPoint Communications, Inc.",2016-01-08
20736,"Halvorson, Mcclure And Skiles",San Geronimo,2019-06-10
20737,Adane,"Ulta Beauty, Inc.",2012-02-13
20738,Wisozk-Connelly,SQM - Maria Elena,1996-12-01
20739,"Littel, Bode And Dibbert",Independence Holding Company,1991-12-08
20740,Tromp ,Tuina,2012-08-28
20741,"Herman, Luettgen And Balistreri","Discovery Communications, Inc.",2010-05-01
20742,Adca,Jazz Pharmaceuticals plc,2010-08-27
20743,Schimmel Inc,Antucoya,2009-09-10
20744,"Jacobs, Braun And Schimmel",El Tesoro,1984-02-21
20745,Hirthe ,Diana Shipping inc.,2017-07-16
20746,"Schmidt, Reinger And Zulauf",SCL Chemetall,1971-05-14
20747,Ferry-Schuppe,"JA Solar Holdings, Co., Ltd.",2019-05-13
20748,Simonis-Torphy,Kilroy Realty Corporation,1988-12-25
20749,Jerde-Bauch,Las Piedras,1991-07-26
20750,Bahringer-Lehner,"LTC Properties, Inc.",2019-08-01
20751,Goyette ,Diageo plc,2019-04-27
20752,Roob-Nicolas,Limoneira Co,2005-09-21
20753,Mertz Group,"SolarEdge Technologies, Inc.",2012-04-26
20754,"Fisher, Cummings And Rowe","Biocept, Inc.",2007-12-03
20755,Wisozk-Connelly,Cabot Corporation,2018-05-21
20756,Klocko Group,Quebrada Blanca,1990-08-20
20757,Lubowitz-Stroman,Caserones,2008-12-22
20758,"Rice, Ondricka And Block",III de Atacama Minerals - Aguas Blancas,2001-05-06
20759,Reichert And Sons,"Aspen Technology, Inc.",2014-10-24
20760,"Jacobi, Spencer And Mayer","Aspen Technology, Inc.",2017-04-18
20761,Barrows-Dibbert,Great Plains Energy Inc,2010-10-08
20762,Cronin Inc,"Adams Diversified Equity Fund, Inc.",2011-09-27
20763,"Doyle, Ernser And Pacocha","Dupont Fabros Technology, Inc.",1992-12-05
20764,Tromp ,Aircastle Limited,2016-04-17
20765,"Johns, Wisozk And Johnson",Pirquitas,2014-06-24
20766,Watsica-Hauck,Caserones,2019-04-17
20767,Strosin ,"Cogentix Medical, Inc.",2004-08-25
20768,"Johns, Kessler And Balistreri","International Seaways, Inc.",2013-05-17
20769,Moore-Lueilwitz,"Idera Pharmaceuticals, Inc.",2010-02-04
20770,"Bashirian, Greenholt And Russel",Victoria,2018-06-30
20771,Yundt Group,Caserones,2018-09-24
20772,Cruickshank-Schmitt,Anheuser-Busch Inbev SA,1978-07-22
20773,Adecoi,Andacollo Oro,2017-05-25
20774,Ritchie Group,Franke,2017-05-03
20775,Schowalter-Senger,"Destination XL Group, Inc.",2018-07-03
20776,"Jacobson, Boyer And Gleichner","Biocept, Inc.",2003-07-12
20777,Kub Group,PowerShares Nasdaq Internet Portfolio,2011-07-25
20778,Wolf-Boehm,Moog Inc.,1995-12-02
20779,Ullrich Inc,Dos Amigos,2012-08-15
20780,Afesip,"The Travelers Companies, Inc.",2016-10-05
20781,Connelly-Ruecker,"Arista Networks, Inc.",2004-04-30
20782,Torphy Inc,"The Travelers Companies, Inc.",1999-01-28
20783,"Casper, Hayes And Oberbrunner",Andina,1972-02-18
20784,Schuster-Kub,PowerShares Golden Dragon China Portfolio,2013-02-23
20785,Feil-Nikolaus,The Community Financial Corporation,2017-08-29
20786,Jenkins-Kemmer,Brookfield Global Listed Infrastructure Income Fund,2017-05-10
20787,"Herzog, Grimes And Jast","Ocular Therapeutix, Inc.",2001-08-05
20788,Rath Group,El Toqui,1984-07-20
20789,Erdman-Block,Orbotech Ltd.,1960-02-26
20790,Eichmann-Fahey,El Peñon,1996-04-17
20791,Johnson And Sons,Zion Oil & Gas Inc,1980-12-28
20792,Fritsch And Sons,La Productora,2019-01-03
20793,"Weber, Rippin And Krajcik",Isla Guarello,1972-04-28
20794,"Cremin, Klocko And Thiel",United Microelectronics Corporation,2003-03-09
20795,"Olson, Thompson And Fritsch",First Trust Senior Loan Fund ETF,1995-05-23
20796,Murray-Braun,"Western New England Bancorp, Inc.",2013-08-14
20797,Adane,Apollo Senior Floating Rate Fund Inc.,2010-10-12
20798,Mcdermott Inc,"FairPoint Communications, Inc.",2019-07-21
20799,Bradtke Inc,CMP - Cerro Negro Norte,1978-11-15
20800,Kilback Inc,Eaton Vance Corporation,2010-05-31
20801,Berge And Sons,Arch Capital Group Ltd.,2017-05-08
20802,Cruickshank-Schmitt,L.B. Foster Company,2006-03-21
20803,Kuvalis-Swift,Brookfield Global Listed Infrastructure Income Fund,2014-01-11
20804,Konopelski-Langosh,Nuveen Municipal High Income Opportunity Fund,1966-08-01
20805,Satterfield And Sons,Blackstone GSO Long Short Credit Income Fund,2002-02-24
20806,"Schmidt, Reinger And Zulauf",Cosayach - Soledad,2016-01-21
20807,Adane,Michilla,1993-01-11
20808,Conroy ,Park-Ohio Holdings Corp.,2010-08-13
20809,"Simonis, Roberts And Frami",Romeral,1982-12-11
20810,"Boyle, Walsh And Blanda","Ocular Therapeutix, Inc.",1977-09-28
20811,"Ryan, Stark And Medhurst",CMP - Boqueron Chañar,1994-04-29
20812,"Muller, Reichert And Grimes",Romeral,1981-03-16
20813,"Lang, Kohler And Dietrich",Abeona Therapeutics Inc.,1979-11-06
20814,Graham ,Yahoo! Inc.,1986-08-01
20815,Bradtke And Sons,Pupunahue,2017-12-25
20816,Hirthe Group,Dynatronics Corporation,1988-01-20
20817,Satterfield And Sons,"Edge Therapeutics, Inc.",1993-10-04
20818,Waters Group,El Toqui,2002-12-25
20819,"Konopelski, Schaefer And Feil",Faride,2008-03-21
20820,Carroll-Moen,Lambert,1960-12-28
20821,Dickinson-Swift,"Hurco Companies, Inc.",2010-11-03
20822,"Wyman, Nicolas And Fahey",El Salvador,2014-05-13
20823,Kovacek-Swift,West Corporation,2015-10-20
20824,"Kub, Mante And Lebsack",Ferton,1992-06-02
20825,Bechtelar-Wuckert,Nuveen Energy MLP Total Return Fund,2014-07-25
20826,Braun-Eichmann,"PDF Solutions, Inc.",2018-07-03
20827,Hoppe-Wolf,Quebrada Blanca,2010-03-17
20828,"Glover, Dickens And Russel","Gabelli Equity Trust, Inc. (The)",2006-07-07
20829,Gutkowski-Nikolaus,Linderos,1990-01-09
20830,Sporer And Sons,Manto Verde,2002-05-25
20831,Jenkins-Kemmer,"Tootsie Roll Industries, Inc.",1983-07-30
20832,Kreiger-Mccullough,"Discovery Communications, Inc.",2005-10-01
20833,"Schmidt, Ryan And Jacobson",E*TRADE Financial Corporation,2009-04-15
20834,Adega,Cordillera - Tenardita,2016-07-11
20835,"Renner, Bogisich And O'Kon",Pascua,2004-05-17
20836,Anderson-Orn,E.I. du Pont de Nemours and Company,2016-11-20
20837,Quitzon Inc,"MiMedx Group, Inc",1963-09-12
20838,Jenkins Group,Spence,1990-07-01
20839,Nolan Inc,"Impax Laboratories, Inc.",2013-01-07
20840,Paucek ,"HD Supply Holdings, Inc.",2019-08-31
20841,Jast Group,SQM Salar,2016-07-24
20842,"Halvorson, Mcclure And Skiles",Alliance National Municipal Income Fund Inc,1995-07-09
20843,"Beer, Zieme And Huels","XO Group, Inc.",2016-08-11
20844,Adams-Hickle,Alliance National Municipal Income Fund Inc,2015-08-07
20845,Afrikable Ongd,"Zynerba Pharmaceuticals, Inc.",1969-09-04
20846,Cassin-Jerde,Las Pataguas,1990-03-09
20847,Adavas,Eaton Vance Corporation,2016-11-17
20848,"Gerlach, Fritsch And Rippin",Western Alliance Bancorporation,2001-02-25
20849,Orn-Hilll,Walter Investment Management Corp.,2016-10-15
20850,"Luettgen, Watsica And Kutch","Vectrus, Inc.",1968-09-22
20851,"Dooley, Lindgren And Kub",Dorado,1960-01-10
20852,Bartoletti-Kunde,"National American University Holdings, Inc.",2001-05-04
20853,"Larson, Franecki And Macejkovic",Condor,2001-02-22
20854,Wisozk-Bernier,Cerro Iman,2014-03-29
20855,Walsh-Doyle,"Sierra Oncology, Inc.",1996-05-11
20856,Runolfsdottir-Emard,Maria Elisa,2019-06-07
20857,Gusikowski-Emard,BlackRock Municipal Target Term Trust Inc. (The),2002-02-18
20858,Brekke-Crist,"H&R Block, Inc.",1993-01-23
20859,Conroy-Howe,Coiron,2017-03-05
20860,Hoeger ,"Littelfuse, Inc.",2018-08-27
20861,Sanford And Sons,R.R. Donnelley & Sons Company,2004-06-03
20862,"Brakus, White And Mueller","support.com, Inc.",2002-09-04
20863,"Nicolas, Smitham And Wilderman",Romeral,1992-12-28
20864,"Dickens, Pfeffer And Nienow","Hub Group, Inc.",2013-01-29
20865,Hoppe-Wolf,Kilroy Realty Corporation,2001-08-08
20866,Africa Digna,Mackinac Financial Corporation,2008-11-03
20867,Anderson-Orn,Intracampos,1993-09-27
20868,King ,Pinatolca,2002-05-10
20869,"Herman, Luettgen And Balistreri","Hawkins, Inc.",1992-12-17
20870,"Lowe, Streich And Purdy",Comcast Corporation,2019-03-15
20871,"Medhurst, Thiel And Schuster",Celgene Corporation,2019-05-13
20872,Zieme-Metz,Special Opportunities Fund Inc.,1999-06-18
20873,"Grady, Hermann And Streich",Esperanza,1981-11-13
20874,Hand And Sons,"Shutterstock, Inc.",2006-02-15
20875,"Mante, Bode And Wiegand",Cummins Inc.,2019-06-25
20876,Buckridge Group,"MiMedx Group, Inc",1984-10-16
20877,Kunde-Lowe,"Mirna Therapeutics, Inc.",1988-08-02
20878,"Hintz, Yost And Carter","Avenue Therapeutics, Inc.",2010-03-13
20879,"Johns, Wisozk And Johnson",China Cord Blood Corporation,1970-01-29
20880,Purdy And Sons,Kilroy Realty Corporation,2015-11-02
20881,Terry Inc,Inacesa - El Jilguero,1960-04-02
20882,O'Keefe-Zulauf,"Sarepta Therapeutics, Inc.",2014-09-13
20883,"Hilll, Blick And Cartwright",Check-Cap Ltd.,1968-07-06
20884,"Mante, Bode And Wiegand",La Picarda,2013-09-05
20885,Schimmel Inc,Collahuasi,2016-06-01
20886,Gutkowski-Schinner,Kilroy Realty Corporation,1985-05-05
20887,"Cassin, Grant And Pfannerstill",Abeona Therapeutics Inc.,2004-11-27
20888,Koepp Group,CMP - Boqueron Chañar,2005-05-11
20889,Gerlach-Leuschke,Clifton Bancorp Inc.,1977-01-30
20890,Kertzmann-Kulas,"Arista Networks, Inc.",2002-01-15
20891,Bode-Nikolaus,Central Garden & Pet Company,1976-06-15
20892,Lehner-Stanton,"Taiwan Fund, Inc. (The)",2012-10-30
20893,Okuneva Inc,Victoria,2018-08-30
20894,Grimes-Weber,PowerShares BuyBack Achievers Portfolio,1991-01-19
20895,Marvin-Corkery,Las Luces,1985-12-18
20896,Lakin-Osinski,iShares 20+ Year Treasury Bond ETF,2013-12-13
20897,"Gleichner, Waelchi And Douglas",Zion Oil & Gas Inc,1990-05-21
20898,Afalcontigo,Andes Travertine,2017-04-23
20899,Champlin-Bauch,CMP - Algarrobo,1999-09-23
20900,Monahan-Grimes,Check-Cap Ltd.,2016-12-01
20901,Hilll ,Merus Labs International Inc.,1993-10-14
20902,Jenkins-Ward,Terreno Realty Corporation,2006-05-25
20903,Braun-Simonis,"Chunghwa Telecom Co., Ltd.",1962-03-22
20904,Zemlak And Sons,La Patagua,2000-09-14
20905,Bins Group,Check-Cap Ltd.,1991-06-08
20906,"Heller, Lubowitz And Dach",E*TRADE Financial Corporation,2012-11-15
20907,Funk And Sons,BRF S.A.,1992-10-02
20908,Swaniawski-Sawayn,Cerro Casale,1987-10-21
20909,Hickle ,ACF - Lagunas,1982-10-06
20910,Pollich-Treutel,"First Financial Bankshares, Inc.",1988-09-09
20911,"Becker, Haag And Hammes",United Microelectronics Corporation,2008-04-21
20912,Senger-Bogisich,"Clear Channel Outdoor Holdings, Inc.",1995-10-30
20913,Adane,Old Republic International Corporation,1998-12-17
20914,Hettinger-Lynch,El Salvador,2012-09-07
20915,Fadel Group,Special Opportunities Fund Inc.,1999-10-20
20916,Moore-O'Conner,United States Cellular Corporation,1996-03-18
20917,Gutkowski-Nikolaus,Texas Pacific Land Trust,2006-04-22
20918,"Bruen, Kulas And Hodkiewicz",Celite - Carol,2007-11-02
20919,"Cummerata, Gutmann And Gaylord",Cerro Bayo,2017-04-12
20920,"Cruickshank, Nienow And Abbott",STMicroelectronics N.V.,2006-12-02
20921,Africa-Edusa,Urstadt Biddle Properties Inc.,2011-09-17
20922,"Bruen, Macgyver And Deckow","Pepsico, Inc.",2016-11-30
20923,Boehm ,Microsemi Corporation,2009-05-28
20924,"Cronin, Welch And Rippin",Abeona Therapeutics Inc.,1985-08-20
20925,Schumm And Sons,Randgold Resources Limited,1979-03-27
20926,Stoltenberg ,Cohen & Steers Reit and Preferred Income Fund Inc,2003-06-16
20927,Abbott Group,Coiron,1990-10-05
20928,"Kautzer, Streich And Vandervort",Western Alliance Bancorporation,2015-04-05
20929,O'Hara-Bergstrom,Caupolican,2002-03-24
20930,Gusikowski-Emard,Laguna Siren,2016-07-07
20931,Conroy-Howe,Applied DNA Sciences Inc,1976-04-01
20932,King Group,Pampa Camarones,2011-12-05
20933,"Schultz, Huel And Cormier","Chegg, Inc.",2016-12-24
20934,Rosenbaum-Leffler,Julia,1982-03-25
20935,Pollich-Treutel,"Texas Capital Bancshares, Inc.",1966-06-20
20936,Gaylord-Torphy,Nuveen Municipal High Income Opportunity Fund,1990-05-14
20937,"Reynolds, Dare And Barrows",SAP SE,2014-03-20
20938,Stracke Group,Johnson & Johnson,1998-10-09
20939,Stiedemann-Wuckert,Pampa Camarones,2013-07-13
20940,Klein Group,Elenita,2007-03-24
20941,Adela Eh,"Mirna Therapeutics, Inc.",1985-12-12
20942,"Champlin, Oberbrunner And Eichmann",Westpac Banking Corporation,1994-08-03
20943,"Waters, Batz And Dickinson",Salesforce.com Inc,1997-10-26
20944,Kunde Inc,La Marcelina,1961-05-18
20945,Wisoky ,Entegra Financial Corp.,1994-01-25
20946,Adela Eh,"Meridian Waste Solutions, Inc",1982-06-19
20947,"Abshire, Crooks And Kassulke","Shutterstock, Inc.",1998-02-13
20948,"Lesch, Rath And Pfannerstill","Commerce Bancshares, Inc.",2017-12-20
20949,Luettgen-Satterfield,"Adams Diversified Equity Fund, Inc.",2011-12-08
20950,Mcglynn ,United Microelectronics Corporation,2009-07-21
20951,"Kihn, Orn And Farrell",Las Luces,2016-07-27
20952,Rolfson And Sons,Texas Pacific Land Trust,2008-05-02
20953,"Jacobi, Spencer And Mayer",Terreno Realty Corporation,2006-05-28
20954,Hegmann And Sons,El Volcan,2004-07-31
20955,"Torphy, Marquardt And Oberbrunner",Los Pelambres,1993-10-15
20956,Macejkovic-Haag,"India Fund, Inc. (The)",1995-04-19
20957,Cronin ,Silicon Motion Technology Corporation,2011-04-26
20958,Rowe-Wisoky,Entercom Communications Corporation,2008-10-26
20959,"Macejkovic, Gusikowski And Keeling",E.I. du Pont de Nemours and Company,1999-01-21
20960,Zboncak-Kerluke,"Universal Stainless & Alloy Products, Inc.",1990-01-29
20961,Roob-Nicolas,Cummins Inc.,1982-01-29
20962,Afimu,"SeaChange International, Inc.",1976-08-11
20963,"Wisozk, Smitham And Wisoky",Jeronimo,2016-06-06
20964,Bahringer-Lehner,Gladstone Commercial Corporation,2013-02-04
20965,"Stark, Langworth And Kovacek",Kamada Ltd.,2017-06-09
20966,"Cronin, Welch And Rippin",Northern Trust Corporation,1986-11-30
20967,Schaden-Mitchell,HollyFrontier Corporation,2014-12-04
20968,Grimes-Weber,Lota,2005-07-17
20969,Nolan Inc,Guaranty Bancorp,1989-04-25
20970,"Zemlak, Cruickshank And Boehm",Voya Global Equity Dividend and Premium Opportunity Fund,1981-11-04
20971,Williamson-Watsica,Lenga,1989-12-24
20972,Feest ,Las Piedras,1984-07-19
20973,Accion Natura,Celite - Carol,2014-12-04
20974,Africa Esperanza,Navio,2001-12-04
20975,Hilll-Tromp,"Universal Stainless & Alloy Products, Inc.",2004-11-06
20976,Zieme ,CoreSite Realty Corporation,2008-09-02
20977,"Goodwin, Cremin And Raynor",Silvercrest Asset Management Group Inc.,1979-11-01
20978,Schiller-Mitchell,"Dupont Fabros Technology, Inc.",2015-11-11
20979,Harvey And Sons,Forum Merger Corporation,2001-10-26
20980,Berge ,La Coipa,1995-04-28
20981,"Goyette, Huels And Champlin",Costamare Inc.,2007-12-19
20982,Will And Sons,Punta de Lobos - Kanita,1989-11-21
20983,Senger-Bins,"Commerce Bancshares, Inc.",2016-08-04
20984,Pacocha-Heller,Check-Cap Ltd.,2004-09-09
20985,Russel Group,CoreSite Realty Corporation,2015-03-04
20986,Boehm-Luettgen,PowerShares Nasdaq Internet Portfolio,1995-04-06
20987,"Keeling, Collins And Yost",Celgene Corporation,2019-06-18
20988,Willms-Ondricka,Radomiro Tomic,2015-02-21
20989,"Kohler, Harris And Weissnat",Cowen Inc.,2002-09-06
20990,"Grady, Hermann And Streich",Western Alliance Bancorporation,1998-02-08
20991,"Cartwright, Gusikowski And Miller",Toll Brothers Inc.,1958-07-17
20992,"Shields, Grant And Bernier",La Productora,2019-02-26
20993,Will And Sons,Kraton Corporation,2003-05-10
20994,Mcclure ,Celgene Corporation,2018-07-14
20995,"Zemlak, Cruickshank And Boehm","Waste Management, Inc.",2017-10-12
20996,Bosco-Kuhn,First Trust Nasdaq Retail ETF,1994-07-14
20997,Gleason And Sons,Tekla Healthcare Opportunies Fund,2009-09-23
20998,"Goldner, Kertzmann And Paucek",L.B. Foster Company,2005-06-14
20999,Oberbrunner ,La Perla,2018-09-03
21000,"Weissnat, Jaskolski And Bins","SolarEdge Technologies, Inc.",2012-06-24
21001,Moore-Reilly,SQM - Mapocho,1984-09-03
21002,"Gutkowski, Huel And Murazik",La Productora,2019-05-26
21003,Eichmann-Fahey,"Westbury Bancorp, Inc.",2019-01-26
21004,Afs Intercultura,Quiborax,1999-07-09
21005,Wilderman-Leannon,Faride,2004-02-14
21006,Wehner-Jenkins,First Trust Emerging Markets Small Cap AlphaDEX Fund,2006-02-22
21007,"Crona, Schmeler And Greenfelder",Schwager,2001-04-09
21008,Africa Viva,Carola,2008-03-28
21009,"Muller, Reichert And Grimes",El Salvador,2015-12-03
21010,Stark Inc,"PrivateBancorp, Inc.",2007-01-09
21011,Bartell Inc,Collahuasi,2006-05-26
21012,Connelly-Ruecker,La Coipa,1986-09-18
21013,Accion Natura,Nuveen Floating Rate Income Fund,2005-07-31
21014,"Champlin, O'Reilly And O'Keefe",PowerShares Nasdaq Internet Portfolio,1967-09-23
21015,"Raynor, Abernathy And Koch","Hub Group, Inc.",2005-08-23
21016,Rutherford-Becker,Forum Merger Corporation,2014-11-02
21017,"Brakus, White And Mueller",Nuveen Floating Rate Income Fund,2012-04-18
21018,Africa Esperanza,L.B. Foster Company,2010-02-02
21019,"Cronin, Welch And Rippin",Merus Labs International Inc.,2015-01-08
21020,Cremin-Hodkiewicz,"Sarepta Therapeutics, Inc.",1998-09-21
21021,Mraz-Eichmann,"Cleveland BioLabs, Inc.",2000-01-31
21022,Beahan-Kuhlman,Elkhorn Commodity Rotation Strategy ETF,1999-03-02
21023,"Hermann, Quigley And Heaney","Adams Diversified Equity Fund, Inc.",1966-06-25
21024,"Hoeger, Zboncak And Hammes",BLDRS Asia 50 ADR Index Fund,2019-01-26
21025,"Lindgren, Barrows And Goodwin",Nuveen Municipal High Income Opportunity Fund,2010-04-21
21026,Little-Murazik,Corporate Asset Backed Corp CABCO,1978-01-13
21027,Zieme-O'Reilly,"Franklin Financial Network, Inc.",2014-04-22
21028,Zemlak And Sons,Great Plains Energy Inc,1992-04-24
21029,Cassin-Jerde,Tres Valles,2017-04-20
21030,Breitenberg-Murphy,Zaldivar,2006-04-27
21031,Hoppe-Zboncak,Inseego Corp.,1995-05-13
21032,"Koch, Feil And Spencer",Inacesa - El Way,1983-08-28
21033,"Rice, Ondricka And Block","German American Bancorp, Inc.",2005-11-22
21034,"Fisher, Cummings And Rowe",Global Partner Acquisition Corp.,2016-11-17
21035,Harvey And Sons,CoreSite Realty Corporation,1969-01-09
21036,"Hayes, Huel And Keebler",Fair Isaac Corporation,1971-12-20
21037,Davis Inc,"Kura Oncology, Inc.",2011-12-27
21038,Lueilwitz Inc,Carvana Co.,2018-10-05
